title,subject,url,description
Kitchen Chemistry (Spring 2009),experimental-study-group,https://ocw.mit.edu/courses/experimental-study-group/es-287-kitchen-chemistry-spring-2009,"This seminar is designed to be an experimental and hands-on approach to applied chemistry (as seen in cooking). Cooking may be the oldest and most widespread application of chemistry and recipes may be the oldest practical result of chemical research. We shall do some cooking experiments to illustrate some chemical principles, including extraction, denaturation, and phase changes."
Advanced Kitchen Chemistry (Spring 2002),chemistry,https://ocw.mit.edu/courses/chemistry/5-s16-advanced-kitchen-chemistry-spring-2002,"This seminar will be a scientific exploration of the food we eat and enjoy. Each week we shall have a scientific edible experiment that will explore a specific food topic. This will be a hands-on seminar with mandatory attendance of at least 85%. Topics include, but are not limited to, what makes a good experiment, cheese making, joys of tofu, food biochemistry, the science of spice, what is taste?"
Digital Lab Techniques Manual (Spring 2007),res-5-0001-digital-lab-techniques-manual-spring-2007,https://ocw.mit.edu/resources/res-5-0001-digital-lab-techniques-manual-spring-2007,"The ""Digital Lab Techniques Manual"" is a series of videos designed to help you prepare for your chemistry laboratory class. Each video provides a detailed demonstration of a common laboratory technique, as well as helpful tips and information. These videos are meant to supplement, and not replace, your lab manual and assigned reading. In fact, you will most benefit from watching the videos if you have already read the appropriate background information. To be a great experimentalist, you must understand both theory and technique! If you have questions about what you see, make sure to ask your TA or your instructor."
Principles of Inorganic Chemistry III (Spring 2005),chemistry,https://ocw.mit.edu/courses/chemistry/5-05-principles-of-inorganic-chemistry-iii-spring-2005,"This course covers the principles of main group (s and p block) element chemistry with an emphasis on synthesis, structure, bonding, and reaction mechanisms."
Crystal Structure Refinement (Fall 2009),chemistry,https://ocw.mit.edu/courses/chemistry/5-067-crystal-structure-refinement-fall-2009,This course in crystal structure refinement examines the practical aspects of crystal structure determination from data collection strategies to data reduction and basic and advanced refinement problems of organic and inorganic molecules.
Crystal Structure Analysis (Spring 2010),chemistry,https://ocw.mit.edu/courses/chemistry/5-069-crystal-structure-analysis-spring-2010,"This course covers the following topics: X-ray diffraction: symmetry, space groups, geometry of diffraction, structure factors, phase problem, direct methods, Patterson methods, electron density maps, structure refinement, how to grow good crystals, powder methods, limits of X-ray diffraction methods, and structure data bases."
Organometallic Chemistry (Fall 2004),chemistry,https://ocw.mit.edu/courses/chemistry/5-44-organometallic-chemistry-fall-2004,"This course examines important transformations of organotransition-metal species with an emphasis on basic mechanisms, structure-reactivity relationships, and applications in organic synthesis."
Chemistry of Biomolecules I (Fall 2005),chemistry,https://ocw.mit.edu/courses/chemistry/5-451-chemistry-of-biomolecules-i-fall-2005,"5.451 is a half-semester introduction to natural product biosynthetic pathways. The course covers the assembly of complex polyketide, peptide, terpene and alkaloid structures. Discussion topics include chemical and biochemical strategies used to elucidate natural product pathways."
Organic Structure Determination (Spring 2007),chemistry,https://ocw.mit.edu/courses/chemistry/5-46-organic-structure-determination-spring-2007,"This course covers modern and advanced methods of elucidation of the structures of organic molecules, including NMR, MS, and IR (among others). The fundamental physical and chemical principles of each method will be discussed. The major emphasis of this course is on structure determination by way of interpreting the data (generally in the form of a spectrum or spectra) that each method provides."
Protein Folding and Human Disease (Spring 2015),biology,https://ocw.mit.edu/courses/biology/7-88j-protein-folding-and-human-disease-spring-2015,"This course covers amino acid sequence control of protein folding, misfolding, amyloid polymerization and aggregation. Readings and discussions address topics such as chaperone structure and function, folding and assembly of fibrous proteins, and pathologies associated with protein misfolding and aggregation in Alzheimer's, Parkinson's, Huntington's and other protein deposition diseases. Students are required to write and present a research paper."
Synthetic Organic Chemistry II (Spring 2005),chemistry,https://ocw.mit.edu/courses/chemistry/5-512-synthetic-organic-chemistry-ii-spring-2005,"This course focuses on general methods and strategies for the synthesis of complex organic molecules. Emphasis is on strategies for stereoselective synthesis, including stereocontrolled synthesis of complex acyclic compounds."
Computational Quantum Mechanics of Molecular and Extended Systems (Fall 2004),chemical-engineering,https://ocw.mit.edu/courses/chemical-engineering/10-675j-computational-quantum-mechanics-of-molecular-and-extended-systems-fall-2004,"The theoretical frameworks of Hartree-Fock theory and density functional theory are presented in this course as approximate methods to solve the many-electron problem. A variety of ways to incorporate electron correlation are discussed. The application of these techniques to calculate the reactivity and spectroscopic properties of chemical systems, in addition to the thermodynamics and kinetics of chemical processes, is emphasized. This course also focuses on cutting edge methods to sample complex hypersurfaces, for reactions in liquids, catalysts and biological systems."
Kinetics of Chemical Reactions (Spring 2003),chemistry,https://ocw.mit.edu/courses/chemistry/5-68j-kinetics-of-chemical-reactions-spring-2003,"This course deals with the experimental and theoretical aspects of chemical reaction kinetics, including transition-state theories, molecular beam scattering, classical techniques, quantum and statistical mechanical estimation of rate constants, pressure-dependence and chemical activation, modeling complex reacting mixtures, and uncertainty/sensitivity analyses. Reactions in the gas phase, liquid phase, and on surfaces are discussed with examples drawn from atmospheric, combustion, industrial, catalytic, and biological chemistry."
Statistical Mechanics (Spring 2012),chemistry,https://ocw.mit.edu/courses/chemistry/5-72-statistical-mechanics-spring-2012,"This course discusses the principles and methods of statistical mechanics. Topics covered include classical and quantum statistics, grand ensembles, fluctuations, molecular distribution functions, other concepts in equilibrium statistical mechanics, and topics in thermodynamics and statistical mechanics of irreversible processes."
Introductory Quantum Mechanics I (Fall 2005),chemistry,https://ocw.mit.edu/courses/chemistry/5-73-introductory-quantum-mechanics-i-fall-2005,"5.73 covers fundamental concepts of quantum mechanics: wave properties, uncertainty principles, SchrÃ¶dinger equation, and operator and matrix methods. Basic applications of the following are discussed: one-dimensional potentials (harmonic oscillator), three-dimensional centrosymmetric potentials (hydrogen atom), and angular momentum and spin. The course also examines approximation methods: variational principle and perturbation theory."
Introductory Quantum Mechanics I (Fall 2002),chemistry,https://ocw.mit.edu/courses/chemistry/5-73-introductory-quantum-mechanics-i-fall-2002,"5.73 covers fundamental concepts of quantum mechanics: wave properties, uncertainty principles, Schrodinger equation, and operator and matrix methods. Basic applications of the following are discussed: one-dimensional potentials (harmonic oscillator), three-dimensional centrosymetric potentials (hydrogen atom), and angular momentum and spin. The course also examines approximation methods: WKB method, variational principle, and perturbation theory."
Introductory Quantum Mechanics II (Spring 2009),chemistry,https://ocw.mit.edu/courses/chemistry/5-74-introductory-quantum-mechanics-ii-spring-2009,"This course covers topics in time-dependent quantum mechanics, spectroscopy, and relaxation, with an emphasis on descriptions applicable to condensed phase problems and a statistical description of ensembles."
Introductory Quantum Mechanics II (Spring 2004),chemistry,https://ocw.mit.edu/courses/chemistry/5-74-introductory-quantum-mechanics-ii-spring-2004,"This course covers time-dependent quantum mechanics and spectroscopy. Topics include perturbation theory, two-level systems, light-matter interactions, relaxation in quantum systems, correlation functions and linear response theory, and nonlinear spectroscopy."
Small-Molecule Spectroscopy and Dynamics (Fall 2008),chemistry,https://ocw.mit.edu/courses/chemistry/5-80-small-molecule-spectroscopy-and-dynamics-fall-2008,"The goal of this course is to illustrate the spectroscopy of small molecules in the gas phase: quantum mechanical effective Hamiltonian models for rotational, vibrational, and electronic structure; transition selection rules and relative intensities; diagnostic patterns and experimental methods for the assignment of non-textbook spectra; breakdown of the Born-Oppenheimer approximation (spectroscopic perturbations); the stationary phase approximation; nondegenerate and quasidegenerate perturbation theory (van Vleck transformation); qualitative molecular orbital theory (Walsh diagrams); the notation of atomic and molecular spectroscopy."
Teaching College-Level Science and Engineering (Fall 2015),chemistry,https://ocw.mit.edu/courses/chemistry/5-95j-teaching-college-level-science-and-engineering-fall-2015,"This participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. It is designed for graduate students interested in an academic career, and anyone else interested in teaching. Students research and present a relevant topic of particular interest. The subject is appropriate for both novices and those with teaching experience."
Teaching College-Level Science and Engineering (Spring 2009),chemistry,https://ocw.mit.edu/courses/chemistry/5-95j-teaching-college-level-science-and-engineering-spring-2009,"This participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. This course is designed for graduate students interested in an academic career, and anyone else interested in teaching. Readings and discussions include: teaching equations for understanding, designing exam and homework questions, incorporating histories of science, creating absorbing lectures, teaching for transfer, the evils of PowerPoint, and planning a course. The subject is appropriate for both novices and those with teaching experience."
Introduction to Computers and Engineering Problem Solving (Spring 2012),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012,
Uncertainty in Engineering (Fall 2008),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-010-uncertainty-in-engineering-fall-2008,"This course gives an introduction to probability and statistics, with emphasis on engineering applications. Course topics include events and their probability, the total probability and Bayes' theorems, discrete and continuous random variables and vectors, uncertainty propagation and conditional analysis. Second-moment representation of uncertainty, random sampling, estimation of distribution parameters (method of moments, maximum likelihood, Bayesian estimation), and simple and multiple linear regression. Concepts illustrated with examples from various areas of engineering and everyday life."
Computing and Data Analysis for Environmental Applications (Fall 2003),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003,"This subject is a computer-oriented introduction to probability and data analysis. It is designed to give students the knowledge and practical experience they need to interpret lab and field data. Basic probability concepts are introduced at the outset because they provide a systematic way to describe uncertainty. They form the basis for the analysis of quantitative data in science and engineering. The MATLAB® programming language is used to perform virtual experiments and to analyze real-world data sets, many downloaded from the web. Programming applications include display and assessment of data sets, investigation of hypotheses, and identification of possible casual relationships between variables. This is the first semester that two courses, Computing and Data Analysis for Environmental Applications (1.017) and Uncertainty in Engineering (1.010), are being jointly offered and taught as a single course."
Project Evaluation (Spring 2011),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-011-project-evaluation-spring-2011,
Introduction to Civil Engineering Design (Spring 2002),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-012-introduction-to-civil-engineering-design-spring-2002,
Design of Electromechanical Robotic Systems (Fall 2009),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-017j-design-of-electromechanical-robotic-systems-fall-2009,"This course covers the design, construction, and testing of field robotic systems, through team projects with each student responsible for a specific subsystem. Projects focus on electronics, instrumentation, and machine elements. Design for operation in uncertain conditions is a focus point, with ocean waves and marine structures as a central theme. Topics include basic statistics, linear systems, Fourier transforms, random processes, spectra, ethics in engineering practice, and extreme events with applications in design."
Computing and Data Analysis for Environmental Applications (Fall 2003),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003,"This subject is a computer-oriented introduction to probability and data analysis. It is designed to give students the knowledge and practical experience they need to interpret lab and field data. Basic probability concepts are introduced at the outset because they provide a systematic way to describe uncertainty. They form the basis for the analysis of quantitative data in science and engineering. The MATLAB® programming language is used to perform virtual experiments and to analyze real-world data sets, many downloaded from the web. Programming applications include display and assessment of data sets, investigation of hypotheses, and identification of possible casual relationships between variables. This is the first semester that two courses, Computing and Data Analysis for Environmental Applications (1.017) and Uncertainty in Engineering (1.010), are being jointly offered and taught as a single course."
Ecology I: The Earth System (Fall 2009),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-018j-ecology-i-the-earth-system-fall-2009,"We will cover fundamentals of ecology, considering Earth as an integrated dynamic system. Topics include coevolution of the biosphere, geosphere, atmosphere and oceans; photosynthesis and respiration; the hydrologic, carbon and nitrogen cycles. We will examine the flow of energy and materials through ecosystems; regulation of the distribution and abundance of organisms; structure and function of ecosystems, including evolution and natural selection; metabolic diversity; productivity; trophic dynamics; models of population growth, competition, mutualism and predation. This course is designated as Communication-Intensive; instruction and practice in oral and written communication provided. Biology is a recommended prerequisite."
Ecology II: Engineering for Sustainability (Spring 2008),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-020-ecology-ii-engineering-for-sustainability-spring-2008,"This course provides a review of physical, chemical, ecological, and economic principles used to examine interactions between humans and the natural environment. Mass balance concepts are applied to ecology, chemical kinetics, hydrology, and transportation; energy balance concepts are applied to building design, ecology, and climate change; and economic and life cycle concepts are applied to resource evaluation and engineering design. Numerical models are used to integrate concepts and to assess environmental impacts of human activities. Problem sets involve development of MATLAB® models for particular engineering applications. Some experience with computer programming is helpful but not essential."
Introduction to Modeling and Simulation (Spring 2012),materials-science-and-engineering,https://ocw.mit.edu/courses/materials-science-and-engineering/3-021j-introduction-to-modeling-and-simulation-spring-2012,"This subject provides an introduction to modeling and simulation, covering continuum methods, atomistic and molecular simulation, and quantum mechanics. Hands-on training is provided in the fundamentals and applications of these methods to key engineering problems. The lectures provide exposure to areas of application based on the scientific exploitation of the power of computation. We use web based applets for simulations, thus extensive programming skills are not required."
Introduction to Network Models (Fall 2018),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-022-introduction-to-network-models-fall-2018,"This course provides an introduction to complex networks and their structure and function, with examples from engineering, applied mathematics, and social sciences. Topics include spectral graph theory, notions of centrality, random graph models, contagion phenomena, cascades and diffusion, and opinion dynamics."
Advanced Soil Mechanics (Fall 2004),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-361-advanced-soil-mechanics-fall-2004,This class presents the application of principles of soil mechanics. It considers the following topics: the origin and nature of soils; soil classification; the effective stress principle; hydraulic conductivity and seepage; stress-strain-strength behavior of cohesionless and cohesive soils and application to lateral earth stresses; bearing capacity and slope stability; consolidation theory and settlement analysis; and laboratory and field methods for evaluation of soil properties in design practice.
Mechanics of Material Systems: An Energy Approach (Fall 2003),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003,"1.033 provides an introduction to continuum mechanics and material modeling of engineering materials based on first energy principles: deformation and strain; momentum balance, stress and stress states; elasticity and elasticity bounds; plasticity and yield design. The overarching theme is a unified mechanistic language using thermodynamics, which allows understanding, modeling and design of a large range of engineering materials. This course is offered both to undergraduate (1.033) and graduate (1.57) students."
Project Management (Spring 2009),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-040-project-management-spring-2009,"1.040 Project Management focuses on the management and implementation of construction projects, primarily infrastructure projects. A project refers to a temporary piece of work undertaken to create a unique product or service. Whereas operations are continuous and repeating, projects are finite and have an end date. Projects bring form or function to ideas or need. Some notable projects include the Manhattan Project (developing the first nuclear weapon); the Human Genome Project (mapping the human genome); and the Central Artery Project (Boston's ""Big Dig""). The field of project management deals with the planning, execution, and controlling of projects."
Project Management (Spring 2004),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-040-project-management-spring-2004,1.040 covers three important aspects of construction project management:
Frameworks and Models in Engineering Systems / Engineering System Design (Spring 2007),engineering-systems-division,https://ocw.mit.edu/courses/engineering-systems-division/esd-04j-frameworks-and-models-in-engineering-systems-engineering-system-design-spring-2007,"This class provides an introduction to quantitative models and qualitative frameworks for studying complex engineering systems. Also taught is the art of abstracting a complex system into a model for purposes of analysis and design while dealing with complexity, emergent behavior, stochasticity, non-linearities and the requirements of many stakeholders with divergent objectives. The successful completion of the class requires a semester-long class project that deals with critical contemporary issues which require an integrative, interdisciplinary approach using the above models and frameworks."
Fundamentals of Energy in Buildings (Fall 2010),architecture,https://ocw.mit.edu/courses/architecture/4-42j-fundamentals-of-energy-in-buildings-fall-2010,
Engineering Mechanics I (Fall 2007),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-050-engineering-mechanics-i-fall-2007,"This subject provides an introduction to the mechanics of materials and structures. You will be introduced to and become familiar with all relevant physical properties and fundamental laws governing the behavior of materials and structures and you will learn how to solve a variety of problems of interest to civil and environmental engineers. While there will be a chance for you to put your mathematical skills obtained in 18.01, 18.02, and eventually 18.03 to use in this subject, the emphasis is on the physical understanding of why a material or structure behaves the way it does in the engineering design of materials and structures."
Solid Mechanics (Fall 2004),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-050-solid-mechanics-fall-2004,
Structural Engineering Design (Fall 2003),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-051-structural-engineering-design-fall-2003,
Dynamics and Control I (Fall 2007),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-003j-dynamics-and-control-i-fall-2007,This class is an introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Topics include kinematics; force-momentum formulation for systems of particles and rigid bodies in planar motion; work-energy concepts; virtual displacements and virtual work; Lagrange's equations for systems of particles and rigid bodies in planar motion; linearization of equations of motion; linear stability analysis of mechanical systems; free and forced vibration of linear multi-degree of freedom models of mechanical systems; and matrix eigenvalue problems. The class includes an introduction to numerical methods and using MATLAB® to solve dynamics and vibrations problems.
Dynamics and Control I (Spring 2007),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-003j-dynamics-and-control-i-spring-2007,Introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Kinematics. Force-momentum formulation for systems of particles and rigid bodies in planar motion. Work-energy concepts. Virtual displacements and virtual work. Lagrange's equations for systems of particles and rigid bodies in planar motion. Linearization of equations of motion. Linear stability analysis of mechanical systems. Free and forced vibration of linear multi-degree of freedom models of mechanical systems; matrix eigenvalue problems. Introduction to numerical methods and MATLAB® to solve dynamics and vibrations problems.
Dynamics and Vibration (13.013J) (Fall 2002),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-003j-dynamics-and-vibration-13-013j-fall-2002,
Engineering Dynamics (Fall 2011),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-003sc-engineering-dynamics-fall-2011,"This course is an introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems.  Topics covered include kinematics, force-momentum formulation for systems of particles and rigid bodies in planar motion, work-energy concepts, virtual displacements and virtual work. Students will also become familiar with the following topics: Lagrange's equations for systems of particles and rigid bodies in planar motion, and linearization of equations of motion. After this course, students will be able to evaluate free and forced vibration of linear multi-degree of freedom models of mechanical systems and matrix eigenvalue problems."
Mechanics and Design of Concrete Structures (Spring 2004),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-054-mechanics-and-design-of-concrete-structures-spring-2004,"The main objective of 1.054/1.541 is to provide students with a rational basis of the design of reinforced concrete members and structures through advanced understanding of material and structural behavior. This course is offered to undergraduate (1.054) and graduate students (1.541). Topics covered include: Strength and Deformation of Concrete under Various States of Stress; Failure Criteria; Concrete Plasticity; Fracture Mechanics Concepts; Fundamental Behavior of Reinforced Concrete Structural Systems and their Members; Basis for Design and Code Constraints; High-performance Concrete Materials and their use in Innovative Design Solutions; Slabs: Yield Line Theory; Behavior Models and Nonlinear Analysis; and Complex Systems: Bridge Structures, Concrete Shells, and Containments."
Engineering Mechanics II (Spring 2006),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-060-engineering-mechanics-ii-spring-2006,"This subject provides an introduction to fluid mechanics. Students are introduced to and become familiar with all relevant physical properties and fundamental laws governing the behavior of fluids and learn how to solve a variety of problems of interest to civil and environmental engineers. While there is a chance to put skills from calculus and differential equations to use in this subject, the emphasis is on physical understanding of why a fluid behaves the way it does. The aim is to make the students think as a fluid. In addition to relating a working knowledge of fluid mechanics, the subject prepares students for higher-level subjects in fluid dynamics."
Transport Processes in the Environment (Fall 2008),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-061-transport-processes-in-the-environment-fall-2008,"This class serves as an introduction to mass transport in environmental flows, with emphasis given to river and lake systems. The class will cover the derivation and solutions to the differential form of mass conservation equations. Class topics to be covered will include: molecular and turbulent diffusion, boundary layers, dissolution, bed-water exchange, air-water exchange and particle transport."
Chemicals in the Environment: Toxicology and Public Health (BE.104J) (Spring 2005),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-104j-chemicals-in-the-environment-toxicology-and-public-health-be-104j-spring-2005,"This course addresses the challenges of defining a relationship between exposure to environmental chemicals and human disease. Course topics include epidemiological approaches to understanding disease causation; biostatistical methods; evaluation of human exposure to chemicals, and their internal distribution, metabolism, reactions with cellular components, and biological effects; and qualitative and quantitative health risk assessment methods used in the U.S. as bases for regulatory decision-making. Throughout the term, students consider case studies of local and national interest."
Systems Microbiology (Fall 2006),biological-engineering,https://ocw.mit.edu/courses/biological-engineering/20-106j-systems-microbiology-fall-2006,"This course covers introductory microbiology from a systems perspective, considering microbial diversity, population dynamics, and genomics. Emphasis is placed on the delicate balance between microbes and humans, and the changes that result in the emergence of infectious diseases and antimicrobial resistance. The case study approach covers such topics as vaccines, toxins, biodefense, and infections including Legionnaire’s disease, tuberculosis, Helicobacter pylori, and plague."
Introduction to Civil and Environmental Engineering Design I (Fall 2006),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2006,
Introduction to Civil and Environmental Engineering Design I (Fall 2005),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2005,"This sophomore-level course is a project-oriented introduction to the principles and practice of engineering design. Design projects and exercises are chosen that relate to the built and natural environments. Emphasis is placed on achieving function and sustainability through choice of materials and processes, compatibility with natural cycles, and the use of active or adaptive systems. The course also encourages development of hands-on skills, teamwork, and communication; exercises and projects engage students in the building, implementation, and testing of their designs."
Civil Engineering Materials Laboratory (Spring 2004),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-103-civil-engineering-materials-laboratory-spring-2004,"This course introduces the concepts, techniques, and devices used to measure engineering properties of materials. There is an emphasis on measurement of load-deformation characteristics and failure modes of both natural and fabricated materials. Weekly experiments include data collection, data analysis, and interpretation and presentation of results."
Solid Mechanics Laboratory (Fall 2003),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-105-solid-mechanics-laboratory-fall-2003,
Nonlinear Dynamics II: Continuum Systems (Spring 2015),mathematics,https://ocw.mit.edu/courses/mathematics/18-354j-nonlinear-dynamics-ii-continuum-systems-spring-2015,"This course introduces the basic ideas for understanding the dynamics of continuum systems, by studying specific examples from a range of different fields. Our goal will be to explain the general principles, and also to illustrate them via important physical effects. A parallel goal of this course is to give you an introduction to mathematical modeling."
Foundations of Software Engineering (Fall 2000),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-124j-foundations-of-software-engineering-fall-2000,"This is a foundation subject in modern software development techniques for engineering and information technology. The design and development of component-based software (using C# and .NET) is covered; data structures and algorithms for modeling, analysis, and visualization; basic problem-solving techniques; web services; and the management and maintenance of software. Includes a treatment of topics such as sorting and searching algorithms; and numerical simulation techniques. Foundation for in-depth exploration of image processing, computational geometry, finite element methods, network methods and e-business applications. This course is a core requirement for the Information Technology M. Eng. program."
Pattern Recognition and Analysis (Fall 2006),media-arts-and-sciences,https://ocw.mit.edu/courses/media-arts-and-sciences/mas-622j-pattern-recognition-and-analysis-fall-2006,"This class deals with the fundamentals of characterizing and recognizing patterns and features of interest in numerical data. We discuss the basic tools and theory for signal understanding problems with applications to user modeling, affect recognition, speech recognition and understanding, computer vision, physiological analysis, and more. We also cover decision theory, statistical classification, maximum likelihood and Bayesian estimation, nonparametric methods, unsupervised learning and clustering. Additional topics on machine and human learning from active research are also talked about in the class."
Computational Geometry (Spring 2003),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-158j-computational-geometry-spring-2003,"Topics in surface modeling: b-splines, non-uniform rational b-splines, physically based deformable surfaces, sweeps and generalized cylinders, offsets, blending and filleting surfaces. Non-linear solvers and intersection problems. Solid modeling: constructive solid geometry, boundary representation, non-manifold and mixed-dimension boundary representation models, octrees. Robustness of geometric computations. Interval methods. Finite and boundary element discretization methods for continuum mechanics problems. Scientific visualization. Variational geometry. Tolerances. Inspection methods. Feature representation and recognition. Shape interrogation for design, analysis, and manufacturing. Involves analytical and programming assignments."
"Wavelets, Filter Banks and Applications (Spring 2003)",mathematics,https://ocw.mit.edu/courses/mathematics/18-327-wavelets-filter-banks-and-applications-spring-2003,"Wavelets are localized basis functions, good for representing short-time events. The coefficients at each scale are filtered and subsampled to give coefficients at the next scale. This is Mallat's pyramid algorithm for multiresolution, connecting wavelets to filter banks. Wavelets and multiscale algorithms for compression and signal/image processing are developed. Subject is project-based for engineering and scientific applications."
Masters of Engineering Concepts of Engineering Practice (Fall 2007),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-133-masters-of-engineering-concepts-of-engineering-practice-fall-2007,"This course is a core requirement for the Masters in Engineering program, designed to teach students about the roles of today's professional engineer and expose them to team-building skills through lectures, team workshops, and seminars. Topics include: written and oral communication, job placement skills, trends in the engineering and construction industry, risk analysis and risk management, managing public information, proposal preparation, project evaluation, project management, liability, professional ethics, and negotiation. The course draws on relevant large-scale projects to illustrate each component of the subject."
Wave Propagation (Spring 2017),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-062j-wave-propagation-spring-2017,"This course discusses theoretical concepts and analysis of wave problems in science and engineering. Examples are chosen from elasticity, acoustics, geophysics, hydrodynamics, blood flow, nondestructive evaluation, and other applications. "
Systems Optimization: Models and Computation (SMA 5223) (Spring 2004),sloan-school-of-management,https://ocw.mit.edu/courses/sloan-school-of-management/15-094j-systems-optimization-models-and-computation-sma-5223-spring-2004,"This class is an applications-oriented course covering the modeling of large-scale systems in decision-making domains and the optimization of such systems using state-of-the-art optimization tools. Application domains include: transportation and logistics planning, pattern classification and image processing, data mining, design of structures, scheduling in large systems, supply-chain management, financial engineering, and telecommunications systems planning. Modeling tools and techniques include linear, network, discrete and nonlinear optimization, heuristic methods, sensitivity and post-optimality analysis, decomposition methods for large-scale systems, and stochastic optimization."
Engineering Economy Module (Fall 2009),engineering-systems-division,https://ocw.mit.edu/courses/engineering-systems-division/esd-70j-engineering-economy-module-fall-2009,
Engineering Systems Analysis for Design (Fall 2008),engineering-systems-division,https://ocw.mit.edu/courses/engineering-systems-division/esd-71-engineering-systems-analysis-for-design-fall-2008,"Engineering systems design must have the flexibility to take advantage of new opportunities while avoiding disasters. This subject develops ""real options"" analysis to create design flexibility and measure its value so that it can be incorporated into system optimization. It builds on essential concepts of system models, decision analysis, and financial concepts. Emphasis is placed on calculating value of real options with special attention given to efficient analysis and practical applications. The material is organized and presented to deal with the contextual reality of technological systems, that substantially distinguishes the analysis of real options in engineering systems from that of financial options."
Probability and Statistics in Engineering (Spring 2005),civil-and-environmental-engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005,"This class covers quantitative analysis of uncertainty and risk for engineering applications. Fundamentals of probability, random processes, statistics, and decision analysis are covered, along with random variables and vectors, uncertainty propagation, conditional distributions, and second-moment analysis. System reliability is introduced. Other topics covered include Bayesian analysis and risk-based decision, estimation of distribution parameters, hypothesis testing, simple and multiple linear regressions, and Poisson and Markov processes. There is an emphasis placed on real-world applications to engineering problems."
Engineering Risk-Benefit Analysis (Spring 2007),engineering-systems-division,https://ocw.mit.edu/courses/engineering-systems-division/esd-72-engineering-risk-benefit-analysis-spring-2007,"ERBA (ESD.72) emphasizes three methodologies - reliability and probabilistic risk assessment (RPRA), decision analysis (DA), and cost-benefit analysis (CBA). In this class, the issues of interest are: the risks associated with large engineering projects such as nuclear power reactors, the International Space Station, and critical infrastructures; the development of new products; the design of processes and operations with environmental externalities; and infrastructure renewal projects."
